Issue Type,Summary,Task Point Estimate
Story,Create component CreateLeadSource,13
Task,Create new Branch,0.5
Task,Create page FormCreateLeadSource by copy-paste,0.5
Task,Create route,0.5
Task,Create the button 'Create Lead Source' in the table of the Index page LeadSources,0.5
Task,Test page FormCreateLeadSource,0.5
Task,Edit page FormCreateLeadSource,2
Task,Test page FormCreateLeadSource,0.5
Task,Validation,0.5
Task,Create endpoint in the api,0.5
Task,Import API endpoint,0.5
Task,Mounted,0.5
Task,CHANGELOG,0.5
Task,Commit,0.5
Task,Deployment/Checking/Testing,1
Task,Version,0.5
Task,Report,0.5

Story,Create component UpdateLeadSource,13
Task,Create new Branch,0.5
Task,Create page FormUpdateLeadSource (copy-paste page NewLeadSource),0.5
Task,Create route,0.5
Task,Create the button 'Update' in the table of the Index page LeadSources,0.5
Task,Test page FormUpdateLeadSource,0.5
Task,Edit page FormUpdateLeadSource,2
Task,Test page FormUpdateLeadSource,0.5
Task,Change Title,0.5
Task,Change tag form,0.5
Task,Validation,0.5
Task,Mounted,0.5
Task,Change create() to update(),0.5
Task,Config buttons,0.5
Task,Commit,0.5
Task,CHANGELOG,0.5
Task,Deployment/Checking/Testing,0.5
Task,Version,0.5
Task,Report,0.5

Story,Create action Delete,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Delete' in the table,0.5
Task,Create method 'Delete',0.5
Task,Commit,0.5
Task,CHANGELOG,0.5
Task,Deployment/Checking/Testing,0.5
Task,Version,0.5
Task,Report,0.5

Story,Page Dashboard. Update the block of soft-deleted,5
Task,Create new Branch,0.5
Task,Update tasks for MenusController,2
Task,Update MenusController,1
Task,Page Dashboard. Update the block of soft-deleted,0.5
Task,Page Dashboard. Check the block of soft-deleted,0.5

Story,Create page Index Of LeadSourcesSoftDeleted,8
Task,Create new Branch,0.5
Task,Create route,0.5
Task,Create page LeadSources by copy-paste,0.5
Task,Create table in the page for index of leadSources w/o data,2
Task,Create endpoint in the api,0.5
Task,Create mounted with endpoint,0.5
Task,CHANGELOG,0.5
Task,Commit,0.5
Task,Deployment/Checking/Testing,1
Task,Version,0.5
Task,Report,0.5

Story,Create action Restore,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Restore' in the table,0.5
Task,Create method 'Restore',1
Task,Test method 'Restore',0.5
Task,Commit,0.5
Task,CHANGELOG,0.5
Task,Deployment/Checking/Testing,1
Task,Version,0.5
Task,Report,0.5

Story,Create action DeletePermanently,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Delete Permanently' in the table,0.5
Task,Create method 'DeletePermanently',1
Task,Test method 'DeletePermanently',0.5
Task,Commit,0.5
Task,CHANGELOG,0.5
Task,Deployment/Checking/Testing,1
Task,Version,0.5
Task,Report,0.5
