Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Planning,3
Story,Component Page. Create menu/button,0.5
Story,Component Page. Create router,0.5
Story,Component Page. Create skeleton (IDE function 'create Vue Component'),0.5
Story,Component Page. Insert test string a la 'Hello',0.5
Story,Component Page. Check menu/link, route,0.5
Story,Component Page. Create static demo values as base of Component CustomerInfo,1
Story,Component CustomInfo. Create File CustomInfo.vue,0.5
Story,Component CustomInfo. Insert Demo Code Component (ButtonCount),0.5
Story,Component CustomInfo. Move Component on the right place,0.5
Story,Component CustomInfo. Substitute static demo values instead of demo button,0.5
Story,Component Page. Create API endpoints,0.5


