Issue Type,Summary,Task Point Estimate
Task,Planning,3
Story,Create page LeadSources,5
Task,Create new Branch,0.5
Task,Create route,1
Task,Create menu 'Lead Sources',0.5
Task,Create page LeadSources,1
Task,Create table in the page for index of leadSources,1
Task,Create endpoint in the api,0.5
Task,Create mounted with endpoint,0.5
Story,Create component NewLeadSource,8
Task,Create new Branch,0.5
Task,Create page FormNewLeadSource,0.5
Task,Insert test string a la 'Hello',0.5
Task,Create route,0.5
Task,Create the button 'Create New Lead Source' in the Index page LeadSources,0.5
Task,Test page FormNewLeadSource,0.5
Task,Create skeleton of the component (IDE function 'create Vue Component'),0.5
Task,Create demo-component 'Button' to check working structure,0.5
Task,Insert component in the working page to check demo-component,0.5
Task,Start to change the Button-component to own,1
Task,Create validation,0.5
Task,Create endpoint in the api,0.5
Task,Import API endpoint,0.5
Task,Create Buttons 'Cancel' and 'Back',1
Task,Add another fields,1
Story,Create component UpdateLeadSource,8
Task,Create new Branch,0.5
Task,Create page FormUpdateLeadSource (copy-paste page NewLeadSource),0.5
Task,Create route,0.5
Task,Create the button 'Update' in the table of the Index page LeadSources,0.5
Task,Test page FormUpdateLeadSource,0.5
Task,Edit page FormUpdateLeadSource,0.5
Task,Copy-paste component NewLeadSource in FormUpdateLeadSource,0.5
Task,Test page FormUpdateLeadSource,0.5
Task,Change Title,0.5
Task,Change tag form,0.5
Task,Validation,0.5
Task,Mounted,0.5
Task,Change create() to update(),0.5
Task,Config buttons,0.5
Story,Create action Delete,2
Task,Create new Branch,0.5
Task,Create button 'Delete' in the table,0.5
Task,Create method 'Delete',0.5
Task,Commit,3
Task,CHANGELOG,1
Task,Deployment/Checking/Testing,3
Task,Version,3
Task,Report,1
