Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Planning,3
Story, Create component's structure (directory, files),0.5
Story, Create demo-component 'Button' to check working structure,0.5
Story, Create component with static demo values in the layout,2
Story, Insert component in the working page,1
Story, Move static demo values in the props,1
Story, Create endpoints in the api,0.5
Story, Import constants of endpoints in the vue-file,0.5
Story, Check and process api-data to substitute demo values,3
Story, Validate POST data,1
Story, Store POST data,1
Story, Create link to the Customer Page after storing,0.5

